NameOfMedicine,NameOfService,ContactNo,Area,ContactPerson,Website,Status,LastVerified,NameOfMedicine1
"
          Fabiflu
        ","
          NA
        ",88260 02120,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          09:10, 07/5
        ",In the last 3 hours
"
          Fabliflu/Faviparivir
        ","
          Baani Pharmacy
        ",9911989755,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          14:31, 07/5
        ",In the last 3 hours
"
          remdesivir
        ","
          unknown 
        ",9811529976,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          02:30, 06/5
        ",In the last 3 hours
"
          Fabiflu, Fabipiravir
        ","
          Jha Medical Store
        ",8285361299,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu,Favipiravir home delivery available
        ","
          15:30, 06/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          Shivam
        ",9717783030,"
          NA
        ","
          NA
        ",NA,"
          Remdesivir available
        ","
          15:00, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Malik International Pharmaceuticals, Bhikaji Cama Place
        ",9718541733,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          15:36, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Jhankar Chemists hospital road  jangpura
        ",9811040823,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu 400mg, 800 mg available
        ","
          15:57, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Jhankar Chemist
        ",9811040823,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          15:10, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Dev Medicos, Shalimar Bagh
        ",1mg.com,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          15:15, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Pharmacy 7 Living style mall Jasola
        ",9310079697,"
          NA
        ","
          NA
        ",NA,"
          fabiflu 400mg, 800mg
        ","
          15:45, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Popular medicos, Defence Colony
        ",9560521388,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          15:20, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          JK Healthcare, Paschim Vihar
        ",8010529273,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available, Bevacizumab available 
        ","
          15:30, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Jhankar Chemist, Delhi
        ",9811040823,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          15:10, 06/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Popular Medicos, Defence Colony
        ",9560521388,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu available 
        ","
          15:20, 06/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          Mr Larry kohli
        ",9811529976,"
          NA
        ","
          NA
        ",NA,"
          Remdesivir available(details to whatsapp on given number)
        ","
          12:05, 06/5
        ",In the last 3 hours
"
          Fabiflu, Favipiravir, Bevacimuzab & other covid related medicines available
        ","
          NA
        ",01140455667,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          16:05, 05/5
        ",In the last 3 hours
"
          Toclizumab
        ","
          Archit Herbals
        ",8048580856,"
          NA
        ","
          NA
        ",NA,"
          Toclizumab
        ","
          15:15, 05/5
        ",In the last 3 hours
"
          Itolizumab
        ","
          Biocon Biological
        ",18004256286,"
          NA
        ","
          NA
        ",NA,"
          Itolizumab injection- can be supplied directly. Currently out of stock but expecting in few days. Wld need doctor prescription, CT report, hospital details. Email- Covidcare@biocon.com
        ","
          14:38, 05/5
        ",In the last 3 hours
"
          Bevicra
        ","
          Aiims pharmacy 
        ",9999333311,"
          NA
        ","
          NA
        ",NA,"
          Bevicra
        ","
          19:35, 04/5
        ",In the last 3 hours
"
          Bevacimuzab
        ","
          Angad.
        ",9899826029,"
          NA
        ","
          NA
        ",NA,"
          Bevacimuzab 400mg
        ","
          15:42, 04/5
        ",In the last 3 hours
"
          Fabipiravir
        ","
          Fruit Corner Medicos
        ",9999501501,"
          NA
        ","
          NA
        ",NA,"
          Favipirvair available
        ","
          15:22, 04/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          The Life Pharmacy MD market Pitampura 
        ",9999222248,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu 400 mg available
        ","
          14:11, 04/5
        ",In the last 3 hours
"
          Fabiflu
        ","
          Ambey Medicine Corner
        ",1126193664,"
          NA
        ","
          NA
        ",NA,"
          Fabiflu 400mg Available
        ","
          13:26, 04/5
        ",In the last 3 hours
"
          Methpred 4,8 ,16 mg
        ","
          Gentech healthcare
        ",9818444661,"
          NA
        ","
          NA
        ",NA,"
          Available (Methpred 4,8 ,16 mg)
        ","
          16:00, 03/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          Manish
        ",7838322329,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          13:13, 03/5
        ",In the last 3 hours
"
          Remdesivir
        ","
          Unnamed
        ",8920844496,"
          NA
        ","
          NA
        ",NA,"
          Available
        ","
          13:17, 03/5
        ",In the last 3 hours
