Name,Pharmacy ,contact_number,_status,last_verified
Fabliflu/Faviparivir,Baani Pharmacy,9911989755,Available,"14:31, 07/5"
remdesivir,unknown,9811529976,Available,"02:30, 06/5"
Remdesivir,Shivam,9717783030,Remdesivir available,"15:00, 06/5"
Fabiflu,Jhankar Chemist,9811040823,Fabiflu available,"15:10, 06/5"
Fabiflu,Pharmacy 7 Living style mall Jasola,9310079697,"fabiflu 400mg, 800mg","15:45, 06/5"
Fabiflu,"Popular medicos, Defence Colony",9560521388,Fabiflu available,"15:20, 06/5"
Fabiflu,"JK Healthcare, Paschim Vihar",8010529273,"Fabiflu available, Bevacizumab available","15:30, 06/5"
Fabiflu,"Jhankar Chemist, Delhi",9811040823,Fabiflu available,"15:10, 06/5"
Fabiflu,"Popular Medicos, Defence Colony",9560521388,Fabiflu available,"15:20, 06/5"
Remdesivir,Mr Larry kohli,9811529976,Remdesivir available(details to whatsapp on given number),"12:05, 06/5"
Toclizumab,Archit Herbals,8048580856,Toclizumab,"15:15, 05/5"
Itolizumab,Biocon Biological,18004256286,"Itolizumab injection- can be supplied directly. Currently out of stock but expecting in few days. Wld need doctor prescription, CT report, hospital details. Email- Covidcare@biocon.com","14:38, 05/5"
Bevicra,Aiims pharmacy,9999333311,Bevicra,"19:35, 04/5"
Bevacimuzab,Angad.,9899826029,Bevacimuzab 400mg,"15:42, 04/5"
Fabipiravir,Fruit Corner Medicos,9999501501,Favipirvair available,"15:22, 04/5"
Fabiflu,The Life Pharmacy MD market Pitampura,9999222248,Fabiflu 400 mg available,"14:11, 04/5"
Fabiflu,Ambey Medicine Corner,1126193664,Fabiflu 400mg Available,"13:26, 04/5"
Remdesivir,Manish,7838322329,Available,"13:13, 03/5"
Remdesivir,Unnamed,8920844496,Available,"13:17, 03/5"
Remdesivir,Manas Parida,9711090844,Switched Off,"12:51, 02/5"
Remdesivir,AARK Pharmaceutical,9953466646,Switched Off,"12:52, 02/5"
Remdesivir,Unnamed,9899842667,Available,"13:20, 30/5"
Remdesivir,AAR AAR Healthcare,8826929090,Available,"17:18, 29/4"
Remdesivir,NOVACARE HEALTHCARE SOLUTIONS Pvt.,8860074107,Available,"17:18, 29/4"
Remdesivir,NARANG BIOTEC PVT. LTD,9310014268,Available,"17:18, 29/4"
Remdesivir,NARULA ASSOCIATES,1125504849,Available,"17:18, 29/4"
Remdesivir,"LUCKY PHARMACEUTICALS, APOLLO",1149837500,Available,"17:18, 29/4"
Remdesivir,A S Pharma Pvt Ltd,9810424353,Available,"17:18, 29/4"
Remdesivir,IMPEX HEALTHCARE Pvt. Ltd.,1149057606,Available,"17:18, 29/4"
Remdesivir,Pharma Cube,1128043949,Available,"17:18, 29/4"
Remdesivir,HOSPICARE AGENCIES,9689884548,Available,"17:18, 29/4"
Remdesivir,MEDIWAYS VACCINE COMPANY (LOC),9891260300,Available,"17:18, 29/4"
Fabiflu,PAWAN - GURGAON SEC-52,9811455332,Available,"13:32, 30/4"
Fabiflu,Mr Mohit,9560155556,Available,"13:52, 30/4"
Favipiravir,Sanjay Medicos,8851496214,Available,"13:59, 30/4"
Fabiflu,The life Pharmacy,9999222248,Available,"15:43, 30/4"
Fabiflu,Safdarjung Medicos,9910291371,Available,"15:52, 30/4"
General,Dr Abhishek Kholsa,8383982932,Available on order,"15:15, 28/4"
Fabiflu,Nikhil Arogya Pharamacy,9350480068,Available,"17:39, 26/4"
Fabicyn (Fabiflu alternate),Aditiya,7827550426,Available,"17:36, 26/4"
Bevacizubab (tocilizunab alternate),Sgs Pharma Rohini,8810290175,Available,"17:42, 26/4"
Fabiflu,Not Available,9718541733,Available,"15:23, 23/4"
Fabiflu,Anand Drug Store,9310353839,Available,"15:23, 23/4"
Fabipiravir 200mg,Neveda Drug House,9868610782,Available,"13:42, 30/4"
Fabipiravir,Riteaid Pharmacy,1146064892,Available,"17:03, 30/4"
Fabiflu,Delhi Medicos,9999133715,Available,"17:05, 30/4"
Favipiravir,Venus Pharmacy,9999394060,Available,"15:35, 23/4"
Fabipiravir,Riteaid Pharmacy,1146064892,Available,"17:03, 30/4"
Fabiflu,Delhi Medicos,9999133715,Available,"17:05, 30/4"
Favipiravir,Venus Pharmacy,9999394060,Available,"15:35, 23/4"
Fabiflu,Chawla Medical Karol Bagh,9997777201,Available,"18:39, 26/4"
Fabiflu 400,Jai Jai Shree Ram Medicos,9811529561,Available,"19:15, 26/4"
Fabiflu,Anky Medicos,9999424949,Available,"15:31, 28/4"
Fabiflu,Durga Medical Store,9911610356,Available,"15:49, 28/4"
